,,0,1
HRV_MeanNN,count,3962.0,14105.0
HRV_MeanNN,mean,797.92064664045,798.2727976056608
HRV_MeanNN,std,161.2317784811235,142.69441087393824
HRV_MeanNN,min,521.1397058823529,452.34375
HRV_MeanNN,25%,700.5208333333334,709.1346153846154
HRV_MeanNN,50%,771.3068181818181,774.7395833333334
HRV_MeanNN,75%,856.5340909090909,859.375
HRV_MeanNN,max,2880.208333333333,2822.9166666666665
HRV_SDNN,count,3962.0,14105.0
HRV_SDNN,mean,271.02776409041434,268.4177889108981
HRV_SDNN,std,185.4486943522101,158.32925875941433
HRV_SDNN,min,6.139884749948248,7.547592055307
HRV_SDNN,25%,179.71590037952254,188.16793645312632
HRV_SDNN,50%,252.02551788510976,253.3578582300598
HRV_SDNN,75%,332.68999377907517,323.18956882274733
HRV_SDNN,max,3339.1225768655654,3151.0761017402187
HRV_RMSSD,count,3962.0,14105.0
HRV_RMSSD,mean,367.844892642139,366.3546007204769
HRV_RMSSD,std,242.08023920142196,218.55310051285065
HRV_RMSSD,min,7.8125,10.085894130748482
HRV_RMSSD,25%,243.3711665164077,250.66495374122587
HRV_RMSSD,50%,342.93575085095904,341.37436683695705
HRV_RMSSD,75%,451.8392328748523,444.1459501109968
HRV_RMSSD,max,4156.367479542683,5402.749047070852
HRV_SDSD,count,3962.0,14105.0
HRV_SDSD,mean,386.232768114832,384.88003936452867
HRV_SDSD,std,258.0691461685189,239.24091912664562
HRV_SDSD,min,8.068715304598786,10.446217553461274
HRV_SDSD,25%,252.80363678630562,261.3425048624054
HRV_SDSD,50%,357.9364906162117,357.07484006332623
HRV_SDSD,75%,474.1353211212527,466.40763132589046
HRV_SDSD,max,4286.834860943444,7601.397897755386
HRV_CVNN,count,3962.0,14105.0
HRV_CVNN,mean,0.324634626401489,0.32881284472091504
HRV_CVNN,std,0.1461136757366114,0.13671342136586945
HRV_CVNN,min,0.0114977531978376,0.009719233230174
HRV_CVNN,25%,0.24591639677541866,0.2531256612356946
HRV_CVNN,50%,0.3287903510913915,0.3316875256740224
HRV_CVNN,75%,0.4017166872555827,0.4024665850509725
HRV_CVNN,max,1.3497084942277653,1.447537182416732
HRV_CVSD,count,3962.0,14105.0
HRV_CVSD,mean,0.4429267493778212,0.44965484401891126
HRV_CVSD,std,0.20270466368456191,0.1945069892885922
HRV_CVSD,min,0.0147826086956521,0.0149971024647873
HRV_CVSD,25%,0.33018292194858523,0.3327900852982548
HRV_CVSD,50%,0.4402973857386622,0.4454053630774031
HRV_CVSD,75%,0.5578778091575022,0.5564216253571982
HRV_CVSD,max,1.861241559142788,2.015759777194157
HRV_MedianNN,count,3962.0,14105.0
HRV_MedianNN,mean,755.1879574709743,759.3124113789437
HRV_MedianNN,std,141.76662569906847,137.36638120870623
HRV_MedianNN,min,453.125,375.0
HRV_MedianNN,25%,656.25,671.875
HRV_MedianNN,50%,734.375,742.1875
HRV_MedianNN,75%,812.5,828.125
HRV_MedianNN,max,2000.0,3031.25
HRV_MadNN,count,3962.0,14105.0
HRV_MadNN,mean,217.41307420494698,219.81969137717124
HRV_MadNN,std,141.8583488355421,130.76953720356957
HRV_MadNN,min,0.0,0.0
HRV_MadNN,25%,115.828125,127.4109375
HRV_MadNN,50%,208.490625,208.490625
HRV_MadNN,75%,301.153125,301.153125
HRV_MadNN,max,1239.3609375,1691.0906249999998
HRV_MCVNN,count,3962.0,14105.0
HRV_MCVNN,mean,0.28093086626908675,0.28891273099893416
HRV_MCVNN,std,0.16161462613047578,0.1545185857426638
HRV_MCVNN,min,0.0,0.0
HRV_MCVNN,25%,0.1512857142857142,0.1710692307692307
HRV_MCVNN,50%,0.2804918918918919,0.2831932584269662
HRV_MCVNN,75%,0.3901578947368421,0.397125
HRV_MCVNN,max,1.047704,1.0275445544554456
HRV_IQRNN,count,3962.0,14105.0
HRV_IQRNN,mean,293.4252350454316,293.70292006380714
HRV_IQRNN,std,203.96763744324699,178.0934118992943
HRV_IQRNN,min,0.0,0.0
HRV_IQRNN,25%,152.34375,171.875
HRV_IQRNN,50%,281.25,277.34375
HRV_IQRNN,75%,398.4375,390.625
HRV_IQRNN,max,2937.5,2960.9375
HRV_SDRMSSD,count,3962.0,14105.0
HRV_SDRMSSD,mean,0.7522408360033344,0.7502255212223853
HRV_SDRMSSD,std,0.15224654174190191,0.14914607552491055
HRV_SDRMSSD,min,0.5153929002932538,0.5125914893654847
HRV_SDRMSSD,25%,0.6489376396981684,0.6501635858621564
HRV_SDRMSSD,50%,0.7163868588839833,0.7169330647664561
HRV_SDRMSSD,75%,0.8194202118386779,0.8117090982518662
HRV_SDRMSSD,max,1.930182931798688,2.785242495291165
HRV_Prc20NN,count,3962.0,14105.0
HRV_Prc20NN,mean,598.3665131246845,599.1160049627791
HRV_Prc20NN,std,113.22420211336036,124.3281866997847
HRV_Prc20NN,min,340.625,321.875
HRV_Prc20NN,25%,518.75,506.25
HRV_Prc20NN,50%,590.625,584.375
HRV_Prc20NN,75%,662.5,675.0
HRV_Prc20NN,max,1606.25,1550.0
HRV_Prc80NN,count,3962.0,14105.0
HRV_Prc80NN,mean,967.1031044926805,967.2447713576746
HRV_Prc80NN,std,254.91880845381542,216.02776506186962
HRV_Prc80NN,min,531.25,468.75
HRV_Prc80NN,25%,809.3750000000001,825.0
HRV_Prc80NN,50%,928.125,934.375
HRV_Prc80NN,75%,1083.59375,1071.875
HRV_Prc80NN,max,4343.75,4475.0
HRV_pNN50,count,3962.0,14105.0
HRV_pNN50,mean,70.55915408368492,73.10002396061645
HRV_pNN50,std,21.411437045923808,18.17058999739067
HRV_pNN50,min,0.0,0.0
HRV_pNN50,25%,64.28571428571429,66.66666666666666
HRV_pNN50,50%,76.92307692307693,77.77777777777779
HRV_pNN50,75%,84.61538461538461,84.61538461538461
HRV_pNN50,max,93.33333333333331,93.75
HRV_pNN20,count,3962.0,14105.0
HRV_pNN20,mean,80.10896390111063,81.97982251049444
HRV_pNN20,std,14.626729267583082,12.460159042884683
HRV_pNN20,min,0.0,0.0
HRV_pNN20,25%,76.92307692307693,77.77777777777779
HRV_pNN20,50%,83.33333333333334,85.71428571428571
