,,0,1
HRV_MeanNN,count,3973.0,14146.0
HRV_MeanNN,mean,845.2219305640983,851.8088764293962
HRV_MeanNN,std,217.3266052860891,216.46966072663736
HRV_MeanNN,min,350.0,205.8423913043478
HRV_MeanNN,25%,696.0227272727273,713.5416666666666
HRV_MeanNN,50%,796.875,810.9375
HRV_MeanNN,75%,944.4444444444443,956.5972222222222
HRV_MeanNN,max,2031.25,2320.3125
HRV_SDNN,count,3973.0,14146.0
HRV_SDNN,mean,241.42184155624975,244.08127976115452
HRV_SDNN,std,121.33624785153427,116.12348130303393
HRV_SDNN,min,5.189149719961495,6.889977372564038
HRV_SDNN,25%,167.19480124244294,170.7043393995031
HRV_SDNN,50%,231.22301832081703,233.81629837102585
HRV_SDNN,75%,308.5690259083047,303.80481093410066
HRV_SDNN,max,1122.5341900416663,1298.1294134092846
HRV_RMSSD,count,3973.0,14146.0
HRV_RMSSD,mean,330.52922805267025,336.06316051513414
HRV_RMSSD,std,174.51099423814603,172.6268206049143
HRV_RMSSD,min,7.8125,10.085894130748482
HRV_RMSSD,25%,221.4123697989794,226.1100604587694
HRV_RMSSD,50%,311.14764198630263,313.1731030646902
HRV_RMSSD,75%,418.19381596137134,418.25521908707947
HRV_RMSSD,max,1679.984227666538,2036.711407974876
HRV_SDSD,count,3973.0,14145.0
HRV_SDSD,mean,349.4553698186238,355.9766224847632
HRV_SDSD,std,192.13591543636565,192.45868986457793
HRV_SDSD,min,8.068715304598786,10.446217553461274
HRV_SDSD,25%,229.4075868603541,235.0251399451769
HRV_SDSD,50%,325.3228564633908,328.55874110144543
HRV_SDSD,75%,442.3492941844445,441.5272234670247
HRV_SDSD,max,1994.8868558663503,2651.650429449553
HRV_CVNN,count,3973.0,14146.0
HRV_CVNN,mean,0.2811202067829337,0.28637521122543996
HRV_CVNN,std,0.11233158616334839,0.10917333790461531
HRV_CVNN,min,0.0097341291298588,0.0088585423361537
HRV_CVNN,25%,0.2147318309135193,0.2203889176159801
HRV_CVNN,50%,0.2854084194665783,0.2897769842354142
HRV_CVNN,75%,0.3556620288380028,0.3549314262230035
HRV_CVNN,max,0.8042320542096771,0.8166172046944391
HRV_CVSD,count,3973.0,14146.0
HRV_CVSD,mean,0.3847093128785743,0.39270328100368423
HRV_CVSD,std,0.16142890587050582,0.1584586844336128
HRV_CVSD,min,0.0146551724137931,0.0142052701577654
HRV_CVSD,25%,0.2837032952475013,0.29055826178092437
HRV_CVSD,50%,0.3885202472185776,0.3921666898467032
HRV_CVSD,75%,0.4910904820192395,0.4926888703492723
HRV_CVSD,max,1.073554336895564,1.2082474594432655
HRV_MedianNN,count,3973.0,14146.0
HRV_MedianNN,mean,809.5700667002266,819.1273151420896
HRV_MedianNN,std,219.67848254388954,221.51937832336242
HRV_MedianNN,min,312.5,187.5
HRV_MedianNN,25%,664.0625,687.5
HRV_MedianNN,50%,757.8125,773.4375
HRV_MedianNN,75%,906.25,921.875
HRV_MedianNN,max,2078.125,2320.3125
HRV_MadNN,count,3973.0,14146.0
HRV_MadNN,mean,193.24026200289453,198.30878748851265
HRV_MadNN,std,128.94717378368065,123.90475105348163
HRV_MadNN,min,0.0,0.0
HRV_MadNN,25%,92.6625,115.828125
HRV_MadNN,50%,173.7421875,185.325
HRV_MadNN,75%,254.821875,254.821875
HRV_MadNN,max,972.95625,1389.9375
HRV_MCVNN,count,3973.0,14146.0
HRV_MCVNN,mean,0.2345618690929853,0.2421491401316763
HRV_MCVNN,std,0.13447563358145814,0.12831780440967613
HRV_MCVNN,min,0.0,0.0
HRV_MCVNN,25%,0.1248505263157894,0.1413124203821656
HRV_MCVNN,50%,0.2280923076923077,0.2391290322580645
